ERR4968581_bin_26.fa  cmag_558  Bacteroides fragilis_A
ERR4836918_bin_11.fa  cmag_395  Campylobacter_D jejuni
ERR4836965_bin_9.fa cmag_519  Campylobacter_D coli
ERR4968588_bin_12.fa cmag_570  Eisenbergiella sp900544445
ERR4303154bin_37.fa  cmag_038  Lawsonibacter sp900545895
ERR4968604_bin_20.fa cmag_628  Enterocloster sp900547035
ERR4304450bin_69.fa  cmag_175  Dysosmobacter sp900556925
ERR7167041_bin_33.fa cmag_791  Blautia sp002161285
ERR4836959_bin_22.fa cmag_488  Clostridium_Q saccharolyticum_A
ERR7167033_bin_2.fa  cmag_782  Lactobacillus crispatus
ERR4836936_bin_13.fa cmag_426  Eisenbergiella NA
ERR4836887_bin_54.fa cmag_379 Faecalibacterium	NA
ERR4303136bin_34.fa  cmag_002  Negativibacillus sp900547455
ERR4835858_bin_17.fa cmag_298  Anaerosacchariphilus sp002160765
ERR4303169bin_21.fa  cmag_079  Dysosmobacter NA
